voiceCredits,voterId,owner
1326,1,0x26098C24cA52ae70FF173817E2285A7971c22139
569,2,0xB39A3Ec4Ef92F9335a4621B11Cc9e3c4Ebc66B7C
100,3,0x0d2689916c6F5b41F43C9983Ca08d3c9a7E41e09
100,4,0x5790c53da0c5ec030D98bB91B97e797F846f3294
195,5,0x06C650735Ceed6E92c2F21981daa7DDb90A1D51d
100,6,0xB49452313Eb74a3Cfa7b63DEbB9a6190b60a49A6
100,7,0xD7874aEf966a3438a9157e98d9Cdc1AB781afd7f
100,8,0xD4bd394dd12F1C5FD6fb8f6399F45456CFDd4F8B
100,9,0x4450cbd66F0fa15A626745324814aD32b2FC104e
1109,10,0xDcbC0420319736f4dE871914BcB6d106177fCA7D
100,11,0x4A9f18939C4bf1490cd3B4eB8E706bdfDD70119E
100,12,0x9e6b28E53E9a614Acf0Cb423706F81bbB636EA88
100,13,0x30b3C0c5dD5f09Da7176EE056b125cC02eF5fFe3
100,14,0x498104F6D69Ec29f7E1CfA8B8c3ABD9C5328FD29
100,15,0xeD8DF973F85F030F6131F4F8dca4C8b660F1aff9
100,16,0x167F8fF1D239Ab65D9bDCFB4dC3FE31396371983
100,17,0x50770e3A529475509880F0dA1b0B67a2E03cBFC0
100,18,0x00547FA917D525646A3Db19e69c8c4b98ADe6e9D
100,19,0xe3fBb0520850098Ce7E5cfA09F28fe3EffBb9A58
100,20,0x54D35908413ceA0B84845C3936b6792b1afF56Cf
100,21,0x54308ed7443f88E20dA36AFbBBc1138C0Ddba8ae
100,22,0xCaE3C8335Ae8C5Ad1bFc3ec335a85d5036d33578
100,23,0x46F37c88535Ca9E4B5FEF27C2475dbC83922eE4e
100,24,0x30b3C0c5dD5f09Da7176EE056b125cC02eF5fFe3
100,25,0x0a40BCFB1f22cE25E51fBCC6674e8A5d2980FBF0
100,26,0xB00eC4E2b8cb56EA6F4893Ec936546f2E3748A70
100,27,0x61cFfDf19020c7E8745167e761b7C596C4a83156
100,28,0x91Fd416bD694d30F3062c7Fd1Cc2741ff1082132
100,29,0x37bbb62ee61E90838E60761071b7a001ACfeb06F
100,30,0xe4CC6B0a291F4cA10339a9F8CBcc76B1afC664f5
100,31,0x954133199862Fe2CA052661De99373C70EcB4E47
100,32,0x63247CFf403Fcf39D14802a979934546dD2Ea5c5
100,33,0x1150182247Cb6C909FF9cc7609CfE678462979D6
100,34,0xC17C87d272b316cf38D13994445f2cEd109DB784
100,35,0x0A69cDaA1FFb3E7D204C61428dbF052eEe34C0aD
100,36,0xEA27ab2Cd5075035E03Df67587349Cad8566CaEC
100,37,0x6231e3e4fA795E2C00C744B90DEeacE0d4d07369
100,38,0xB352256C5B4299cf6e31A38655041df0E55dd41a
100,39,0xE06d7080369D959128d89aa3de04118870d09aeb
100,40,0xe36E4A7F05167677bc1968F89aD0a125a9E57C0F
100,41,0x4DeA5961e8ec69A27CcF47dCF9B5a6e7A6766e8D
100,42,0x7f19012906075044242895B068BD1DE7fE963110
100,43,0x0D76D49684350cF85a822DDd46b7235d86Fa541f
100,44,0x0D84b52Ba4F388C0A168d48555108d643114191C
100,45,0x2348Fb97d600Cfbc0882CC95a5AD155dC8a42717
100,46,0x031B9b8488B60D842dceE6C78F4abF83150d20F5
100,47,0x0A12beD6471cF9bD54112E333904e77C03b3EABD
100,48,0x16AFD16389eDd871aFb6BBa8615e0b14865Fe796
100,49,0x2871f624aa449A42710ed2C10C974903971988c0
100,50,0x31E985b4f7af6B479148d260309B7BcEcEF0fa7B
300,51,0x3e4A503ea62ff44c9611c04Cf2A46AC8eFf3d053
100,52,0x3F231AF0806fe97eA13867B50F24D9681A61a3BB
100,53,0x46F37c88535Ca9E4B5FEF27C2475dbC83922eE4e
100,54,0x4B9c798ef1dbcB76AA44c695977e4f5fa460897A
100,55,0x4F11595B5e3F33d2370C3C5D8e552AD0D9A99895
100,56,0x528452f6e88e3d1415e31941ae07124A6249Fe89
100,57,0x53c0fa070E310CE1690B3c83b2aB7F20D74D4922
100,58,0x54D35908413ceA0B84845C3936b6792b1afF56Cf
100,59,0x5CDD3c7bB347A62D154D4f39d97b26352601A1e7
100,60,0x6eC29a7Be2fAaEA0Aa33065b531C19B9AF9c8A0A
100,61,0x719B2F13081744C3084698cEe024ae99A9F5e99C
100,62,0x7711A9a7Da504edF800Fe80f7E52A3aA33DAD07a
100,63,0x7aE02E3871f38D0bA4a5192d97621ba52083fD06
100,64,0x80E6f93Ffc6051214da2712523a074dc7Af60929
100,65,0x810d7EC5920996907e0376Af3c63B00F1588b4fc
100,66,0x83d32767587B5bC0a4E6D125E60BA93E61FF06c8
100,67,0x994e89cA6aF46286Beff9047e84b1C30F6111A7b
100,68,0x9Df59fe943bb74afba2324582023093215b31d0d
100,69,0x9fe94321E8e10B059223caDb5D7abe42E62d90ce
